"Iter. Id","na","nb","nk","Train MSE","Valid MSE"
"70","3","1","5","0.064277546055159","0.66658284382118"
"71","3","1","6","0.064357098027629","0.67893548910901"
"72","3","1","7","0.063740953343174","0.66495757841121"
"73","3","1","8","0.063745437056497","0.59177468912275"
"74","3","1","9","0.063653698424696","0.54190344002188"
"75","3","1","10","0.064405100605976","0.56654829280463"
"76","3","2","0","0.06624449431146","0.69727495803427"
"77","3","2","1","0.065637600282317","0.75281588275381"
"78","3","2","2","0.065163155418507","0.73963217474387"
"79","3","2","3","0.06462543892521","0.71821144740804"
"80","3","2","4","0.064277546055159","0.66658284382118"
"81","3","2","5","0.064357098027629","0.67893548910901"
"82","3","2","6","0.063740953343174","0.66495757841121"
"83","3","2","7","0.063745437056497","0.59177468912275"
"84","3","2","8","0.063653698424696","0.54190344002188"
"85","3","2","9","0.064405100605976","0.56654829280463"
"86","3","2","10","0.064737325431122","0.61184722468787"
"87","3","3","0","0.065637600282317","0.75281588275381"
"88","3","3","1","0.065163155418507","0.73963217474387"
"89","3","3","2","0.06462543892521","0.71821144740804"
"90","3","3","3","0.064277546055159","0.66658284382118"
"91","3","3","4","0.064357098027629","0.67893548910901"
"92","3","3","5","0.063740953343174","0.66495757841121"
"93","3","3","6","0.063745437056497","0.59177468912275"
"94","3","3","7","0.063653698424696","0.54190344002188"
"95","3","3","8","0.064405100605976","0.56654829280463"
"96","4","1","0","0.066713827308652","0.76154376903671"
"97","4","1","1","0.066418047709794","0.73078518767837"
"98","4","1","2","0.065761051238669","0.77010836539951"
"99","4","1","3","0.065278534572161","0.75121996549216"
"100","4","1","4","0.064794313557802","0.73129583252051"
"101","4","1","5","0.064461870310534","0.68038943492676"
"102","4","1","6","0.064532034557094","0.69348059571863"
"103","4","1","7","0.063904699141661","0.68249773212246"
"104","4","1","8","0.063888754672032","0.60587646571788"
"105","4","1","9","0.063801717617901","0.55551928293933"
"106","4","1","10","0.064605722276662","0.57913376760765"
"107","4","2","0","0.066418047709794","0.73078518767837"
"108","4","2","1","0.065761051238669","0.77010836539951"
"109","4","2","2","0.065278534572161","0.75121996549216"
"110","4","2","3","0.064794313557802","0.73129583252051"
"111","4","2","4","0.064461870310534","0.68038943492676"
"112","4","2","5","0.064532034557094","0.69348059571863"
"113","4","2","6","0.063904699141661","0.68249773212246"
"114","4","2","7","0.063888754672032","0.60587646571788"
"115","4","2","8","0.063801717617901","0.55551928293933"
"116","4","2","9","0.064605722276662","0.57913376760765"
"117","4","3","0","0.065761051238669","0.77010836539951"
"118","4","3","1","0.065278534572161","0.75121996549216"
"119","4","3","2","0.064794313557802","0.73129583252051"
"120","4","3","3","0.064461870310534","0.68038943492676"
"121","4","3","4","0.064532034557094","0.69348059571863"
"122","4","3","5","0.063904699141661","0.68249773212246"
"123","4","3","6","0.063888754672032","0.60587646571788"
"124","4","3","7","0.063801717617901","0.55551928293933"
"125","4","3","8","0.064605722276662","0.57913376760765"
